game_pk,game_date,kelly_fraction,f_star,bankroll_before,game_cap,n_entries,total_invested,avg_entry_mid,home_won,pnl_per_dollar,game_pnl,bankroll_after,n_concurrent_at_start
824943,2026-03-30,0.125,1.0021609171346877,29542.570000000007,634.7266550329441,634,634.0,0.5649999999999998,1,0.43500000000000016,275.7900000000001,29818.360000000008,6
823484,2026-03-30,0.125,1.0021609171346877,29818.360000000008,952.0899825494162,952,952.0,0.615,0,-0.615,-585.48,29232.88000000001,4
824702,2026-03-30,0.125,1.0021609171346877,29232.88000000001,544.0514185996664,1,1.0,0.85,1,0.15000000000000002,0.15000000000000002,29233.03000000001,7
823809,2026-03-30,0.125,1.0021609171346877,29233.03000000001,476.0449912747081,476,476.0,0.6050000000000003,0,-0.6050000000000003,-287.98000000000013,28945.05000000001,8
823080,2026-03-30,0.125,1.0021609171346877,28945.05000000001,423.1511033552961,397,397.0,0.15988664987405543,0,-0.15988664987405543,-63.47500000000001,28881.57500000001,9
822834,2026-03-30,0.125,1.0021609171346877,28881.57500000001,761.671986039533,761,761.0,0.7219842312746384,0,-0.7219842312746384,-549.4299999999998,28332.14500000001,5
823320,2026-03-31,0.125,1.0021609171346877,28332.14500000001,622.5582292719228,622,622.0,0.4020257234726688,0,-0.4020257234726688,-250.06,28082.08500000001,6
823159,2026-03-31,0.125,1.0021609171346877,28082.08500000001,533.6213393759338,85,85.0,0.5335294117647059,1,0.4664705882352941,39.65,28121.73500000001,7
823972,2026-03-31,0.125,1.0021609171346877,28121.73500000001,610.3375032380385,610,610.0,0.6274098360655738,0,-0.6274098360655738,-382.71999999999997,27739.01500000001,6
823485,2026-03-31,0.125,1.0021609171346877,27739.01500000001,868.7173972754022,558,558.0,0.6306541218637992,1,0.3693458781362008,206.09500000000003,27945.11000000001,4
824861,2026-03-31,0.125,1.0021609171346877,27945.11000000001,3474.8695891016087,1419,1419.0,0.07425651867512333,0,-0.07425651867512333,-105.37,27839.740000000013,1
823888,2026-03-31,0.125,1.0021609171346877,27839.740000000013,1158.2898630338696,20,20.0,0.5589999999999999,1,0.44100000000000006,8.82,27848.560000000012,3
824537,2026-03-31,0.125,1.0021609171346877,27848.560000000012,1737.4347945508043,1737,1737.0,0.09319804260218767,0,-0.09319804260218767,-161.885,27686.675000000014,2
824942,2026-03-31,0.125,1.0021609171346877,27686.675000000014,579.1449315169348,579,579.0,0.5949999999999998,0,-0.5949999999999998,-344.5049999999999,27342.170000000013,6
822836,2026-03-31,0.125,1.0021609171346877,27342.170000000013,694.9739178203217,694,694.0,0.7052593659942362,1,0.2947406340057638,204.55000000000007,27546.720000000012,5
823077,2026-03-31,0.125,1.0021609171346877,27546.720000000012,434.3586986377011,45,45.0,0.4694444444444444,1,0.5305555555555557,23.875000000000004,27570.595000000012,8
823807,2026-03-31,0.125,1.0021609171346877,27570.595000000012,496.40994130022983,496,496.0,0.535,1,0.46499999999999997,230.64,27801.23500000001,7
824212,2026-04-01,0.125,1.0021609171346877,27801.23500000001,386.09662101128987,386,386.0,0.5750000000000001,1,0.42499999999999993,164.04999999999998,27965.28500000001,9
823158,2026-04-01,0.125,1.0021609171346877,27965.28500000001,433.53911891265693,433,433.0,0.24263279445727484,0,-0.24263279445727484,-105.06,27860.22500000001,8
825107,2026-04-01,0.125,1.0021609171346877,27860.22500000001,578.0521585502092,578,578.0,0.5149999999999999,1,0.4850000000000001,280.33000000000004,28140.55500000001,6
823322,2026-04-01,0.125,1.0021609171346877,28140.55500000001,495.4732787573222,495,495.0,0.17242424242424242,0,-0.17242424242424242,-85.35,28055.205000000013,7
823969,2026-04-01,0.125,1.0021609171346877,28055.205000000013,575.6285993989385,183,183.0,0.7168579234972677,1,0.28314207650273227,51.815000000000005,28107.02000000001,6
824940,2026-04-01,0.125,1.0021609171346877,28107.02000000001,3520.9696176403777,73,73.0,0.8815068493150684,1,0.1184931506849316,8.650000000000007,28115.670000000013,1
824860,2026-04-01,0.125,1.0021609171346877,28115.670000000013,1760.4848088201888,26,26.0,0.7667307692307692,1,0.23326923076923078,6.065,28121.73500000001,2
824536,2026-04-01,0.125,1.0021609171346877,28121.73500000001,1173.6565392134592,968,968.0,0.1062706611570248,0,-0.1062706611570248,-102.87,28018.865000000013,3
823889,2026-04-01,0.125,1.0021609171346877,28018.865000000013,586.8282696067296,586,586.0,0.5814846416382252,1,0.4185153583617748,245.25000000000003,28264.115000000013,6
822835,2026-04-01,0.125,1.0021609171346877,28264.115000000013,704.1939235280755,704,704.0,0.7249999999999998,0,-0.7249999999999998,-510.3999999999998,27753.71500000001,5
823483,2026-04-01,0.125,1.0021609171346877,27753.71500000001,880.2424044100944,880,880.0,0.10427840909090907,1,0.895721590909091,788.235,28541.95000000001,4
823806,2026-04-01,0.125,1.0021609171346877,28541.95000000001,502.9956596629111,502,502.0,0.575,1,0.42500000000000004,213.35000000000002,28755.30000000001,7
824211,2026-04-01,0.125,1.0021609171346877,28755.30000000001,440.1212022050472,440,440.0,0.4249999999999999,1,0.5750000000000002,253.00000000000009,29008.30000000001,8
824698,2026-04-01,0.125,1.0021609171346877,29008.30000000001,352.09696176403776,5,5.0,0.6649999999999999,1,0.3350000000000001,1.6750000000000003,29009.97500000001,10
823078,2026-04-01,0.125,1.0021609171346877,29009.97500000001,391.2188464044864,253,253.0,0.388102766798419,1,0.6118972332015811,154.81,29164.78500000001,9
