game_pk,game_date,entry_ts,entry_mid,entry_spread,entry_depth_ratio,entry_inning,entry_score_diff,home_favored,home_won,pnl,sim_filled_60s,sim_fill_price,sim_fill_time
823888,2026-03-31,1774997515,0.565,0.009999999999999898,0.29097328959596164,1,0,1,1,0.43500000000000005,1,0.42000000000000004,0.0
823485,2026-03-31,1774984334,0.635,0.010000000000000009,0.37810851024250475,,,1,1,0.365,1,0.64,18.0
822836,2026-03-31,1774987510,0.705,0.010000000000000009,0.38132379122218646,,,1,1,0.29500000000000004,1,0.71,11.0
824942,2026-03-31,1774987745,0.595,0.010000000000000009,0.39576922334130354,,,1,0,-0.595,1,0.6,18.0
823807,2026-03-31,1774988453,0.535,0.010000000000000009,0.3831290348639051,,,1,1,0.46499999999999997,1,0.54,27.0
823077,2026-03-31,1775001328,0.455,0.010000000000000009,0.1999004683568442,1,0,0,1,0.5449999999999999,1,0.46,0.0
824212,2026-04-01,1774990232,0.575,0.010000000000000009,0.3461108688342371,,,1,1,0.42500000000000004,1,0.58,33.0
825107,2026-04-01,1774995639,0.515,0.010000000000000009,0.37084810781648886,,,1,1,0.485,1,0.52,57.0
823322,2026-04-01,1775008254,0.215,0.010000000000000009,0.2749524023312465,1,-3,0,0,-0.215,1,0.22,0.0
823158,2026-04-01,1775008188,0.385,0.010000000000000009,0.21500128644989888,1,-1,0,0,-0.385,1,0.39,4.0
823969,2026-04-01,1775001012,0.715,0.010000000000000009,0.39638700976486013,,,1,1,0.28500000000000003,1,0.72,30.0
824940,2026-04-01,1775055759,0.675,0.010000000000000009,0.3796973861632611,,,1,1,0.32499999999999996,1,0.68,37.0
824860,2026-04-01,1775062023,0.545,0.010000000000000009,0.3824407281964437,1,0,1,1,0.45499999999999996,1,0.52,11.0
824536,2026-04-01,1775062188,0.185,0.010000000000000009,0.17858080483405636,1,-3,0,0,-0.185,1,0.19,0.0
823483,2026-04-01,1775064052,0.8049999999999999,0.029999999999999916,0.348161166723067,1,1,1,1,0.19500000000000006,1,0.19999999999999996,0.0
822835,2026-04-01,1775056519,0.725,0.010000000000000009,0.3962945204266431,,,1,0,-0.725,1,0.73,51.0
823889,2026-04-01,1775058031,0.585,0.010000000000000009,0.3957422187860826,,,1,1,0.41500000000000004,1,0.59,57.0
823806,2026-04-01,1775056668,0.575,0.010000000000000009,0.3995199170507567,,,1,1,0.42500000000000004,1,0.58,8.0
824211,2026-04-01,1775055760,0.425,0.010000000000000009,0.39367072909395784,,,0,1,0.575,1,0.43,11.0
823078,2026-04-01,1775064288,0.385,0.010000000000000009,0.24773049955343987,,,0,1,0.615,1,0.39,0.0
824698,2026-04-01,1775068634,0.61,0.020000000000000018,0.38989143616099786,2,0,1,1,0.39,1,0.61,23.0
825106,2026-04-01,1775074606,0.51,0.020000000000000018,0.3395783506067854,3,1,1,1,0.49,1,0.48,2.0
823321,2026-04-01,1775075149,0.705,0.030000000000000027,0.35655465627074595,1,1,1,1,0.29500000000000004,1,0.30000000000000004,7.0
823157,2026-04-01,1775074854,0.4,0.03999999999999998,0.37383696255427507,1,-1,0,0,-0.4,0,,
824136,2026-04-01,1775085524,0.495,0.010000000000000009,0.39367061064687325,,,0,1,0.505,1,0.5,0.0
823970,2026-04-02,1775076896,0.715,0.010000000000000009,0.3726906830377255,,,1,0,-0.715,1,0.72,6.0
824133,2026-04-02,1775154304,0.595,0.010000000000000009,0.1397708065005209,1,0,1,0,-0.595,1,0.39,0.0
822758,2026-04-03,1775236772,0.605,0.010000000000000009,0.278208501889813,1,3,1,0,-0.605,1,0.61,0.0
824299,2026-04-03,1775228158,0.62,0.020000000000000018,0.395295266781566,,,1,1,0.38,0,,
823568,2026-04-03,1775226643,0.615,0.010000000000000009,0.3949953013273589,,,1,1,0.385,1,0.62,3.0
824786,2026-04-03,1775240454,0.525,0.010000000000000009,0.24683845372455854,,,1,1,0.475,1,0.53,11.0
