game_pk,game_date,kelly_fraction,f_star,bankroll_before,game_cap,n_entries,total_invested,avg_entry_mid,first_entry_mid,home_won,pnl_per_dollar,game_pnl,bankroll_after
823322,2026-04-01,0.125,1.1378427225152414,43129.554999999986,6134.331285258853,3238,3238.0,0.08217572575663991,0.215,0,-0.08217572575663991,-266.08500000000004,42863.46999999999
823158,2026-04-01,0.125,1.1378427225152414,42863.46999999999,6096.485925156295,2827,2827.0,0.10557127697205519,0.385,0,-0.10557127697205519,-298.45000000000005,42565.01999999999
823969,2026-04-01,0.125,1.1378427225152414,42565.01999999999,6054.037280089461,183,183.0,0.7168579234972677,0.715,1,0.28314207650273227,51.815000000000005,42616.83499999999
824940,2026-04-01,0.125,1.1378427225152414,42616.83499999999,6061.406945172853,73,73.0,0.8815068493150684,0.675,1,0.1184931506849316,8.650000000000007,42625.48499999999
824860,2026-04-01,0.125,1.1378427225152414,42625.48499999999,6062.637237616573,26,26.0,0.7667307692307692,0.545,1,0.23326923076923078,6.065,42631.549999999996
824536,2026-04-01,0.125,1.1378427225152414,42631.549999999996,6063.499864630579,968,968.0,0.1062706611570248,0.185,0,-0.1062706611570248,-102.87,42528.67999999999
823483,2026-04-01,0.125,1.1378427225152414,42528.67999999999,6048.868629522436,1546,1546.0,0.19471216041397152,0.8049999999999999,1,0.8052878395860285,1244.975,43773.65499999999
822835,2026-04-01,0.125,1.1378427225152414,43773.65499999999,6225.941847455362,1171,1171.0,0.7008326216908624,0.725,0,-0.7008326216908624,-820.6749999999998,42952.97999999999
823889,2026-04-01,0.125,1.1378427225152414,42952.97999999999,6109.216962917838,987,987.0,0.5823910840932117,0.585,1,0.4176089159067883,412.18,43365.15999999999
823806,2026-04-01,0.125,1.1378427225152414,43365.15999999999,6167.84146458863,1716,1716.0,0.5647348484848485,0.575,1,0.43526515151515155,746.9150000000001,44112.07499999999
824211,2026-04-01,0.125,1.1378427225152414,44112.07499999999,6274.0754392245635,1756,1756.0,0.4361275626423689,0.425,1,0.5638724373576312,990.1600000000003,45102.23499999999
823078,2026-04-01,0.125,1.1378427225152414,45102.23499999999,6414.906232990275,253,253.0,0.388102766798419,0.385,1,0.6118972332015811,154.81,45257.04499999999
824698,2026-04-01,0.125,1.1378427225152414,45257.04499999999,6436.924911974348,5,5.0,0.6649999999999999,0.61,1,0.3350000000000001,1.6750000000000003,45258.719999999994
825106,2026-04-01,0.125,1.1378427225152414,45258.719999999994,6437.163147794375,66,66.0,0.7282575757575758,0.51,1,0.27174242424242423,17.935,45276.65499999999
823321,2026-04-01,0.125,1.1378427225152414,45276.65499999999,6439.714048947913,515,515.0,0.8412038834951456,0.705,1,0.15879611650485437,81.78,45358.43499999999
823157,2026-04-01,0.125,1.1378427225152414,45358.43499999999,6451.3456461788255,2541,2541.0,0.1015112160566706,0.4,0,-0.1015112160566706,-257.94,45100.49499999999
824136,2026-04-01,0.125,1.1378427225152414,45100.49499999999,6414.658752198127,195,195.0,0.548974358974359,0.495,1,0.451025641025641,87.95,45188.444999999985
823970,2026-04-02,0.125,1.1378427225152414,45188.444999999985,6427.167910628779,5175,5175.0,0.44812657004830914,0.715,0,-0.44812657004830914,-2319.055,42869.389999999985
824133,2026-04-02,0.125,1.1378427225152414,42869.389999999985,6097.3279287709565,1026,1026.0,0.23500487329434697,0.595,0,-0.23500487329434697,-241.11499999999998,42628.27499999999
822758,2026-04-03,0.125,1.1378427225152414,42628.27499999999,6063.034060266049,242,242.0,0.4546694214876034,0.605,0,-0.4546694214876034,-110.03000000000003,42518.24499999999
824299,2026-04-03,0.125,1.1378427225152414,42518.24499999999,6047.384455921255,1644,1644.0,0.6238868613138686,0.62,1,0.3761131386861314,618.33,43136.57499999999
823568,2026-04-03,0.125,1.1378427225152414,43136.57499999999,6135.329742247861,2531,2531.0,0.6024338206242593,0.615,1,0.3975661793757407,1006.2399999999997,44142.81499999999
824786,2026-04-03,0.125,1.1378427225152414,44142.81499999999,6278.447599885828,3,3.0,0.6916666666666665,0.525,1,0.30833333333333346,0.9250000000000004,44143.73999999999
