game_pk,game_date,n_entries,total_invested,avg_entry_mid,first_entry_mid,min_entry_mid,max_entry_mid,avg_spread,avg_depth_ratio,entry_duration_seconds,home_favored_at_avg,home_won,pnl_per_dollar,game_pnl
824211,2026-04-01,100,100.0,0.42499999999999977,0.425,0.425,0.425,0.010000000000000009,0.38812213180097943,1837,0,1,0.5750000000000002,57.500000000000014
823078,2026-04-01,100,100.0,0.38239999999999985,0.385,0.375,0.385,0.01180000000000001,0.28156698706996397,3232,0,1,0.6176000000000001,61.76000000000001
824698,2026-04-01,5,5.0,0.6649999999999999,0.61,0.575,0.775,0.017999999999999995,0.37614594302414794,1597,1,1,0.3350000000000001,1.6750000000000003
825106,2026-04-01,66,66.0,0.7282575757575758,0.51,0.505,0.915,0.03833333333333333,0.36425714321621583,5540,1,1,0.27174242424242423,17.935
823321,2026-04-01,100,100.0,0.66755,0.705,0.61,0.715,0.01909999999999998,0.3696296767142414,895,1,1,0.33245,33.245000000000005
823157,2026-04-01,100,100.0,0.43015000000000003,0.4,0.385,0.505,0.0161,0.30706959417312585,625,0,0,-0.43015000000000003,-43.015
824136,2026-04-01,100,100.0,0.49499999999999994,0.495,0.495,0.495,0.010000000000000009,0.38655974474321975,321,0,1,0.5050000000000001,50.500000000000014
823970,2026-04-02,100,100.0,0.7150000000000002,0.715,0.715,0.715,0.010000000000000009,0.369527337383037,669,1,0,-0.7150000000000002,-71.50000000000001
824133,2026-04-02,100,100.0,0.5793999999999998,0.595,0.555,0.595,0.00999999999999997,0.2569794095593858,124,1,0,-0.5793999999999998,-57.93999999999998
822758,2026-04-03,100,100.0,0.5949500000000001,0.605,0.585,0.615,0.012500000000000011,0.35742255075668594,78,1,0,-0.5949500000000001,-59.49500000000001
824299,2026-04-03,100,100.0,0.6199999999999999,0.62,0.62,0.62,0.020000000000000018,0.38591400008499677,723,1,1,0.3800000000000001,38.000000000000014
823568,2026-04-03,100,100.0,0.6150000000000002,0.615,0.615,0.615,0.010000000000000009,0.3925362274407288,564,1,1,0.3849999999999998,38.49999999999998
824786,2026-04-03,3,3.0,0.6916666666666665,0.525,0.525,0.965,0.01666666666666668,0.30873681498823274,6854,1,1,0.30833333333333346,0.9250000000000004
